snapshot_id,account_id,snapshot_date,closing_balance
94821,435,2024-06-03,499597.71
15200,76,2024-03-20,493658.25
10299,52,2025-01-19,236719.87
55291,258,2024-10-28,31252.21
174440,777,2025-01-05,0.0
4363,26,2024-10-19,469363.12
92360,425,2024-07-10,234949.01
61713,283,2025-01-23,449658.01
165706,736,2024-07-29,262369.27
103309,472,2024-05-30,69794.06
49472,228,2024-07-06,209652.47
20252,100,2025-03-01,412205.43
66523,303,2024-11-30,140897.4
29259,136,2025-03-02,343475.0
62020,285,2024-10-01,80804.07
89022,406,2024-12-27,260575.86
44956,208,2024-04-25,96962.16
79054,366,2024-02-06,131968.68
91223,419,2024-03-19,496235.53
116030,530,2025-01-30,196421.41
152108,682,2024-08-28,375436.68
101721,464,2024-07-22,150378.06
68900,317,2024-12-12,266015.61
176070,784,2025-01-08,201240.91
21698,106,2024-08-19,131963.82
77772,356,2025-03-04,395855.32
56103,262,2024-06-25,264116.55
97906,448,2024-12-19,305628.25
146800,661,2024-05-29,234354.12
97619,446,2024-10-09,310351.78
48932,226,2025-01-22,358425.45
158041,705,2025-02-22,105552.17
120352,548,2024-06-01,323240.75
27846,129,2025-03-30,408763.75
15088,75,2024-12-10,230272.83
106710,488,2024-05-19,106482.6
114374,520,2025-02-18,468578.14
121500,552,2024-08-27,169454.01
146194,658,2024-10-10,171392.68
78889,363,2025-02-14,497246.65
156287,695,2024-11-16,43799.38
78115,360,2024-05-30,165426.9
7948,43,2025-03-29,104285.05
73559,338,2024-06-18,285605.96
174160,776,2025-01-26,317983.86
46700,215,2024-12-16,268501.65
142884,643,2024-10-03,318664.66
37527,172,2025-02-20,47252.76
82883,380,2025-03-31,39551.74
41704,191,2024-08-09,114905.71
170963,765,2024-05-07,486204.8
32860,149,2025-03-01,375380.63
1499,9,2025-02-20,82645.59
44819,207,2024-12-15,71756.25
129450,586,2025-03-01,287942.47
43967,202,2024-11-30,244564.88
44428,204,2025-01-16,520513.93
42558,195,2024-11-04,98703.55
151211,679,2025-01-19,177433.08
39991,184,2024-12-05,443175.92
90735,416,2025-03-23,291918.44
129911,588,2024-10-23,53369.49
150870,678,2025-03-01,289164.79
86387,395,2024-04-28,187646.88
114078,520,2024-04-28,469793.06
127003,578,2024-06-20,387940.27
138192,622,2024-12-01,133512.85
107917,493,2024-05-20,475199.97
138115,622,2024-09-15,124235.25
61698,283,2025-01-08,447002.96
70313,323,2024-11-25,38728.3
17075,84,2024-12-02,61881.91
139689,629,2025-03-09,334472.92
100350,459,2024-05-12,191138.43
65916,301,2025-03-18,455972.93
157523,704,2024-10-10,409578.77
9691,50,2024-11-10,152800.66
173213,773,2025-02-13,320061.52
72987,336,2024-11-14,496672.42
57577,267,2024-07-17,149650.15
102699,469,2025-02-06,238351.66
88471,404,2024-12-17,138659.87
65085,298,2025-02-15,182958.18
102475,468,2025-01-08,0.0
88983,406,2024-11-18,256127.92
13766,69,2024-08-06,313700.83
72663,334,2024-08-23,242552.91
142769,641,2025-03-12,116017.03
61228,282,2024-12-17,373993.27
107474,491,2025-02-10,42264.85
31616,146,2024-02-27,183372.57
47877,221,2025-03-22,190242.7
165248,734,2024-10-27,110329.87
169090,753,2025-03-05,83978.12
32656,149,2024-08-09,364349.43
24384,116,2025-02-22,127152.54
20300,101,2024-02-24,283551.31
165933,736,2025-03-13,240932.93
81717,373,2025-01-19,69418.49
89034,406,2025-01-08,265286.45
103563,472,2025-02-08,60058.07
12762,63,2025-02-28,138101.27
147507,664,2024-08-04,21995.77
44525,205,2024-09-21,289999.63
63061,289,2025-01-28,117369.62
156772,698,2024-07-26,224112.06
29630,138,2024-06-30,361166.53
176972,787,2024-12-02,29199.04
124184,566,2024-09-21,47321.52
136634,616,2025-03-28,527680.71
99549,454,2024-11-24,79360.07
121199,551,2024-09-27,92864.29
91683,420,2024-12-26,139264.97
86052,394,2024-05-16,135931.48
60704,279,2025-02-03,321742.37
81189,372,2024-08-26,507647.49
139141,628,2024-01-22,346170.61
24369,116,2025-02-07,131988.19
119283,543,2024-11-29,17782.54
152973,685,2024-06-15,409528.12
40799,187,2024-10-09,458635.3
156912,698,2024-12-13,224778.21
21906,106,2025-03-15,153779.95
95709,438,2024-06-05,0.0
2236,14,2024-09-18,246919.45
154914,692,2024-04-11,403287.39
38512,177,2025-01-22,254235.53
39003,179,2025-01-29,388255.84
139926,630,2024-08-14,82989.73
28574,132,2024-09-12,149369.98
97166,445,2024-08-22,181033.35
22429,108,2024-04-21,364388.96
125922,574,2024-11-23,33293.18
115718,527,2025-01-18,313867.43
116289,531,2024-08-16,36650.78
101548,463,2024-11-04,193467.39
174687,778,2025-01-13,28155.9
139715,630,2024-01-16,92751.86
154158,689,2024-11-22,427556.27
125458,573,2024-04-01,187755.31
96474,440,2024-12-07,109563.41
173362,774,2024-04-16,451550.72
102811,470,2024-08-07,48177.22
172303,768,2025-01-08,437943.51
67707,309,2024-11-28,287012.58
122981,557,2025-01-15,135337.34
78124,360,2024-06-08,157743.01
147770,665,2024-03-23,364503.62
72972,336,2024-10-30,497447.36
14480,73,2025-03-08,219672.41
165443,735,2024-12-06,458130.22
7447,42,2024-10-19,386464.23
170220,760,2025-02-05,390809.81
126276,576,2024-07-26,47938.78
84213,386,2024-08-04,165622.64
167442,743,2025-03-27,137251.29
169762,758,2025-01-19,413730.72
14370,72,2025-03-20,295171.99
101024,460,2025-01-24,472810.15
144425,651,2024-03-05,356934.08
5134,29,2025-02-26,312926.85
147162,662,2024-12-28,513587.09
100116,455,2025-03-30,115657.4
70821,325,2025-03-29,237682.78
113814,519,2024-08-08,71596.54
139938,630,2024-08-26,80784.69
30521,140,2025-02-27,72985.26
109136,500,2024-11-25,21270.37
68143,311,2024-12-14,36056.72
177962,791,2024-11-07,260432.38
87167,398,2024-05-21,280844.26
94729,434,2025-02-19,188667.05
150226,676,2024-10-16,356749.84
102665,469,2025-01-03,230670.28
95637,437,2025-03-20,338988.7
82404,376,2025-01-12,189005.11
77091,353,2024-08-20,302118.54
102859,470,2024-09-24,33615.61
22020,107,2024-06-01,15937.3
168136,748,2024-12-01,479083.8
144528,651,2024-06-16,349021.75
179488,798,2025-03-19,153730.99
146496,659,2025-02-24,76615.01
43942,202,2024-11-05,235696.79
41905,191,2025-02-26,86515.04
33235,150,2024-12-20,367620.36
13620,69,2024-03-13,282886.5
142896,643,2024-10-15,317323.1
109613,502,2024-11-27,335678.49
81028,371,2025-02-05,87955.02
21197,103,2024-08-21,484751.57
137397,620,2024-11-18,153569.31
64904,297,2024-11-08,204427.25
172920,772,2024-07-11,503736.23
128398,583,2024-09-11,32230.54
161241,718,2024-12-15,264412.17
113392,518,2024-08-24,401419.08
154750,691,2024-10-24,140762.55
51785,240,2025-03-31,4468.74
165449,735,2024-12-12,459665.6
171828,767,2024-07-11,482961.95
40093,184,2025-03-17,456091.63
71358,328,2024-08-10,474403.88
23707,114,2024-12-25,17148.84
15622,77,2024-12-18,21794.66
158533,707,2024-07-12,438488.09
64872,297,2024-10-07,202782.16
132863,598,2025-01-10,431077.68
175939,784,2024-08-30,191882.13
76013,349,2024-11-16,410607.55
23679,114,2024-11-27,711.18
161200,718,2024-11-04,273886.34
122571,556,2024-09-20,306097.69
119280,543,2024-11-26,17499.11
76920,352,2024-11-09,187269.22
119227,543,2024-10-04,6870.36
112583,513,2025-02-20,41184.09
35714,163,2025-01-18,359429.64
90033,412,2024-11-16,398965.4
37465,172,2024-12-20,40285.87
77156,353,2024-10-24,307457.13
24589,117,2025-03-09,285191.81
63965,293,2024-07-16,253983.18
57502,267,2024-05-03,180960.4
48615,225,2024-09-27,304388.1
113406,518,2024-09-07,387215.77
70901,326,2024-11-21,89644.36
75406,348,2024-06-14,359058.44
59627,275,2025-03-12,197424.59
124006,566,2024-03-27,4334.33
118609,540,2024-10-25,384113.1
130985,592,2024-10-18,168760.61
4299,25,2025-03-21,101933.74
107527,492,2024-03-28,266252.49
95556,437,2024-12-29,352037.85
54568,255,2024-05-15,466913.5
6383,35,2025-01-06,302228.64
92103,422,2025-02-12,329035.7
9209,48,2024-08-08,479513.33
122930,557,2024-11-25,151417.57
168585,749,2025-03-05,74967.91
161710,721,2024-09-13,436564.3
132246,597,2024-01-26,465689.83
39547,181,2025-03-26,144008.8
131740,594,2025-02-12,391314.18
12897,64,2025-03-19,281999.1
134298,605,2025-01-03,475427.01
5068,29,2024-12-22,311817.19
107596,492,2024-06-05,261073.79
69778,320,2025-01-07,491919.48
147371,663,2025-02-24,77819.93
167538,745,2024-06-17,367538.78
48170,224,2024-09-12,173696.08
50154,233,2025-03-25,455550.47
28766,132,2025-03-23,115590.13
71222,327,2025-02-25,146506.01
71798,329,2025-02-15,403528.56
152714,683,2025-02-16,224155.7
171248,765,2025-02-16,531338.33
145137,653,2024-12-09,260671.6
166865,742,2024-05-12,354873.9
33129,150,2024-09-05,374258.57
87057,397,2025-02-12,257264.93
137665,621,2024-08-22,224053.79
41321,189,2025-03-04,245338.34
77375,354,2024-09-05,144822.54
148081,665,2025-01-28,321707.74
73675,338,2024-10-12,270394.37
152086,682,2024-08-06,363945.41
28721,132,2025-02-06,146824.79
31065,143,2024-09-07,178539.82
2087,14,2024-04-22,245868.24
143575,645,2024-10-23,225454.12
128654,584,2025-02-15,489506.84
76075,349,2025-01-17,431285.38
46862,216,2024-04-13,383051.92
138316,623,2024-03-14,363592.65
116296,531,2024-08-23,38098.01
11322,57,2024-12-21,55803.26
159239,711,2024-10-27,448291.33
170688,764,2024-07-25,140378.57
108144,493,2025-01-02,507132.25
53711,249,2024-11-22,330561.31
101454,462,2025-03-31,465344.36
173931,775,2024-10-09,255412.74
145573,654,2024-11-30,479268.0
132931,598,2025-03-19,402664.47
18534,91,2024-05-09,251568.09
140641,633,2024-10-05,313212.29
107062,489,2024-12-09,242820.97
27562,129,2024-06-19,389952.37
159016,708,2025-03-10,17001.63
121909,553,2025-02-19,358950.86
174894,779,2024-07-13,314311.34
74121,340,2025-01-14,374653.37
177179,788,2024-09-28,488216.39
114860,523,2024-03-15,219314.81
119030,542,2025-03-07,27375.55
127297,579,2024-08-12,56675.47
132678,598,2024-07-09,432131.91
46113,213,2024-07-31,441889.84
119558,544,2024-07-04,195359.25
29144,136,2024-11-07,311541.01
8421,45,2024-12-24,239173.82
110572,507,2024-09-13,150832.49
40552,186,2024-09-25,299298.51
106682,488,2024-04-21,104492.83
30867,141,2025-03-25,500500.51
94064,432,2024-11-14,52527.5
155401,693,2024-10-05,52631.19
574,3,2024-06-05,42404.79
83911,385,2024-08-20,316788.49
177394,789,2025-01-17,479454.48
133463,603,2025-01-24,1287.98
99572,454,2024-12-17,85079.52
28908,133,2024-12-28,136163.64
90130,412,2025-02-21,403263.34
77483,354,2024-12-22,161888.61
108835,497,2024-11-20,44252.8
101614,463,2025-01-09,190371.54
106766,488,2024-07-14,125939.42
158008,705,2025-01-20,99174.87
125733,573,2025-01-01,198997.74
31424,145,2024-11-10,367530.05
89532,408,2024-11-20,404560.15
116905,534,2024-09-09,131370.09
5828,33,2024-08-30,75089.02
154378,690,2024-11-30,136960.49
141564,637,2024-12-31,404685.89
5596,31,2025-01-28,401471.44
97855,447,2025-03-17,297965.55
127791,580,2025-03-06,427753.62
97599,446,2024-09-19,325848.92
132200,596,2025-03-10,45199.15
111989,512,2024-06-22,487951.83
11323,57,2024-12-22,56088.64
107724,492,2024-10-11,286950.07
27961,130,2024-07-18,436706.89
43415,198,2025-02-21,37943.43
82659,379,2024-09-29,362713.86
72832,334,2025-02-08,268002.53
139053,627,2025-01-17,252907.13
75883,349,2024-07-09,413678.51
104487,476,2025-01-26,247041.06
93103,427,2025-03-06,312481.8
15464,76,2024-12-09,503471.3
172288,768,2024-12-24,432801.22
5072,29,2024-12-26,309557.25
8840,47,2024-05-17,255950.56
67582,308,2025-01-03,75203.39
128417,583,2024-09-30,37700.66
141385,637,2024-07-05,419836.39
36910,169,2025-01-01,264077.32
99574,454,2024-12-19,84118.62
91593,419,2025-03-24,463947.52
163583,727,2024-11-07,529133.82
100111,455,2025-03-25,116376.48
149985,675,2025-03-19,432772.89
126339,576,2024-09-27,45547.45
137207,619,2025-03-13,400604.5
29314,137,2024-06-11,91712.78
177730,791,2024-03-20,267140.13
57543,267,2024-06-13,161088.65
110332,506,2025-02-21,270586.49
90606,415,2024-11-29,383247.98
96246,440,2024-04-23,121457.43
165359,734,2025-02-15,138597.75
34069,155,2025-01-22,392357.21
5909,33,2024-11-19,16910.97
175509,781,2024-11-26,6896.85
35310,161,2024-11-06,475552.23
141360,637,2024-06-10,419970.53
100862,460,2024-08-15,471028.4
80234,369,2024-09-21,282521.64
130747,591,2024-10-07,460249.22
69577,319,2025-03-27,196101.1
145544,654,2024-11-01,488719.59
49755,230,2025-01-31,167411.41
137102,619,2024-11-28,418226.49
174735,778,2025-03-02,37079.81
19851,98,2025-03-27,264334.38
129741,588,2024-05-06,51385.49
125964,574,2025-01-04,47506.1
32517,148,2025-01-03,462374.14
71031,326,2025-03-31,88605.25
64124,293,2024-12-22,263993.06
149351,671,2025-03-27,139526.34
61631,283,2024-11-02,452543.32
9962,51,2025-02-19,100461.67
79053,366,2024-02-05,127746.43
146281,658,2025-01-05,167243.77
42642,195,2025-01-27,87272.34
174742,778,2025-03-09,37853.36
122268,554,2025-03-05,389691.51
33837,154,2025-03-04,417061.01
52224,243,2025-01-08,350510.33
93487,430,2025-01-01,130573.72
103129,471,2024-11-12,95935.25
2863,17,2025-02-08,344527.14
16825,82,2025-01-18,161619.65
31291,144,2025-01-12,333921.43
36047,165,2025-02-07,102856.87
45731,212,2024-06-30,270257.42
89196,407,2025-01-07,374015.71
117049,534,2025-01-31,159811.68
307,2,2024-08-09,222099.62
75992,349,2024-10-26,399998.16
63115,289,2025-03-23,134226.89
86679,395,2025-02-14,182662.16
23236,113,2024-06-30,26856.53
33422,153,2024-04-25,342141.15
5821,33,2024-08-23,79079.68
119480,544,2024-04-17,182933.18
69406,319,2024-10-07,169871.98
160604,716,2024-05-28,38185.45
134320,605,2025-01-25,469958.11
162292,723,2025-01-24,473944.41
31171,143,2024-12-22,201498.72
79564,367,2024-04-24,55222.88
43582,200,2025-03-21,195720.16
93579,431,2024-07-29,395397.23
84179,386,2024-07-01,176178.18
8200,44,2025-01-24,150164.91
100399,459,2024-06-30,201629.58
28353,131,2024-10-06,207031.92
22520,108,2024-07-21,349678.85
65516,300,2024-05-25,54753.76
97738,446,2025-02-05,288247.46
88864,406,2024-07-22,254556.09
4980,29,2024-09-25,290152.68
146981,661,2024-11-26,208881.2
76436,351,2024-03-24,132376.85
34324,157,2025-01-29,175793.97
24471,117,2024-11-11,276988.88
145249,653,2025-03-31,214079.75
123088,558,2025-01-29,108644.19
18618,91,2024-08-01,257809.7
110985,508,2024-12-04,57273.81
126468,576,2025-02-03,51818.28
145096,653,2024-10-29,252280.93
90596,415,2024-11-19,379057.18
12917,65,2024-06-09,97086.57
64963,297,2025-01-06,202399.78
168793,751,2025-03-27,377562.32
73988,340,2024-09-03,364996.31
172522,769,2025-03-31,239685.94
39439,180,2025-01-19,85958.68
43853,202,2024-08-08,252118.88
42325,195,2024-03-16,64900.53
9521,50,2024-05-24,155210.44
2993,18,2024-04-27,177982.72
177912,791,2024-09-18,264393.89
87902,400,2025-03-30,477918.22
31379,145,2024-09-26,374595.21
133605,604,2024-04-02,134799.73
36354,166,2024-09-25,450983.88
80513,370,2024-08-31,8997.77
77885,357,2024-12-05,148446.22
113650,519,2024-02-26,43708.54
162206,723,2024-10-30,444865.62
64727,296,2025-01-30,460596.84
36054,165,2025-02-14,98619.08
50453,235,2024-04-26,436668.32
29789,138,2024-12-06,377207.8
62153,285,2025-02-11,74536.34
79098,366,2024-03-21,129692.56
105762,481,2025-03-30,125681.75
10931,55,2025-02-01,239878.68
142739,641,2025-02-10,130269.52
110750,507,2025-03-10,137476.37
129866,588,2024-09-08,51895.18
170404,762,2025-02-11,251363.17
115777,527,2025-03-18,306903.62
56275,262,2024-12-14,260351.25
10335,52,2025-02-24,253499.44
107497,491,2025-03-05,29714.87
46203,213,2024-10-29,432479.66
122372,555,2024-10-22,128735.9
95538,437,2024-12-11,350322.91
